Date,Year,Month,Customer Age,Customer Gender,Country,State,Product Category,Sub Category,Quantity,Unit Cost,Unit Price,Cost,Revenue
240,2015,6,40,0,2,5,1,10,3,683,628,2049,1884
271,2015,5,40,0,2,5,1,10,1,2295,2084,2295,2084
271,2015,5,40,0,2,5,0,7,1,315,359,315,359
284,2015,5,40,0,2,5,1,10,3,773.33,740.666667,2320,2222
294,2015,5,40,0,2,5,1,11,2,1221.5,1125.5,2443,2251
299,2015,1,40,0,2,5,1,10,1,2295,2376,2295,2376
306,2015,1,40,0,2,5,1,14,3,247.33,256.666667,742,770
327,2015,11,40,0,2,5,1,11,1,2443,2318,2443,2318
349,2015,11,40,0,2,5,1,14,3,247.33,219.666667,742,659
349,2015,11,40,0,2,5,0,7,3,70,77.666667,210,233
364,2015,10,40,0,2,5,1,11,1,540,465,540,465
364,2015,10,40,0,2,5,0,7,1,420,456,420,456
378,2015,10,40,0,2,5,0,7,2,420,462.5,840,925
384,2015,10,40,0,2,5,0,7,2,437.5,441.5,875,883
402,2015,9,40,0,2,5,1,10,2,1147.5,1034,2295,2068
407,2015,9,40,0,2,5,1,10,1,2320,2094,2320,2094
407,2015,9,40,0,2,5,0,7,3,175,201.666667,525,605
409,2015,9,40,0,2,5,1,14,2,1192,1117.5,2384,2235
409,2015,9,40,0,2,5,0,7,3,186.67,211,560,633
411,2015,9,40,0,2,5,1,14,1,2384,2192,2384,2192
424,2015,2,40,0,2,5,1,11,3,180,167.333333,540,502
424,2015,2,40,0,2,5,0,7,1,630,669,630,669
36,2016,4,41,1,1,10,0,13,1,660,1066,660,1066
36,2016,4,41,1,1,10,0,13,1,37,56,37,56
96,2016,7,41,1,1,10,1,14,1,2384,2988,2384,2988
96,2016,7,41,1,1,10,0,13,2,377,589,754,1178
96,2016,7,41,1,1,10,0,13,2,37.5,56.5,75,113
214,2016,6,41,1,1,10,1,11,3,814.33,1139.666667,2443,3419
214,2016,6,41,1,1,10,0,2,3,18,25.333333,54,76
242,2015,5,41,1,1,10,0,2,2,25,33.5,50,67
242,2015,5,41,1,1,10,0,2,3,46.67,59,140,177
229,2016,6,41,0,1,8,0,4,1,111,166,111,166
359,2015,10,41,0,1,8,0,4,3,63.67,84.666667,191,254
20,2016,4,42,1,0,22,0,2,3,45,67,135,201
20,2016,4,42,1,0,22,2,6,3,228.67,290,686,870
20,2016,4,42,1,0,22,0,2,3,23.33,33,70,99
145,2016,0,42,1,0,22,0,2,3,30,31.333333,90,94
145,2016,0,42,1,0,22,0,2,3,1.67,2.666667,5,8
352,2015,11,42,1,0,22,0,2,1,80,85,80,85
352,2015,11,42,1,0,22,0,2,1,225,212,225,212
249,2015,5,42,0,1,20,0,2,1,105,138,105,138
249,2015,5,42,0,1,20,0,2,2,55,80.5,110,161
30,2016,4,42,0,2,5,0,13,1,400,498,400,498
49,2016,3,42,0,2,5,0,13,3,28,36,84,108
49,2016,3,42,0,2,5,0,13,3,186.33,216.333333,559,649
49,2016,3,42,0,2,5,2,6,1,392,483,392,483
62,2016,3,42,0,2,5,1,14,1,2384,2415,2384,2415
133,2016,0,42,0,2,5,0,13,3,241.67,301,725,903
133,2016,0,42,0,2,5,0,13,1,40,49,40,49
150,2016,0,42,0,2,5,0,13,2,48,60.5,96,121
150,2016,0,42,0,2,5,0,13,2,204,240.5,408,481
199,2016,6,42,0,2,5,1,14,3,247.33,238.666667,742,716
223,2016,6,42,0,2,5,1,14,1,2384,2432,2384,2432
223,2016,6,42,0,2,5,0,13,3,8.33,10.666667,25,32
223,2016,6,42,0,2,5,0,13,1,406,460,406,460
223,2016,6,42,0,2,5,0,13,2,31,38,62,76
237,2016,6,42,0,2,5,0,13,1,36,43,36,43
321,2015,1,42,0,2,5,0,13,2,179.5,182.5,359,365
375,2015,10,42,0,2,5,0,13,1,522,558,522,558
397,2015,9,42,0,2,5,0,13,2,182.5,188.5,365,377
397,2015,9,42,0,2,5,0,13,2,46,48,92,96
414,2015,2,42,0,2,5,1,14,2,1192,1133.5,2384,2267
443,2015,2,42,0,2,5,1,14,1,742,676,742,676
443,2015,2,42,0,2,5,2,3,3,75,90.666667,225,272
226,2016,6,65,1,3,3,1,14,1,742,757,742,757
190,2016,8,64,1,3,26,0,2,1,210,249,210,249
190,2016,8,64,1,3,26,0,2,3,25,32,75,96
190,2016,8,64,1,3,26,2,15,1,127,140,127,140
219,2016,6,64,1,3,26,0,7,1,315,382,315,382
321,2015,1,64,1,3,26,0,7,3,58.33,65.666667,175,197
356,2015,10,64,1,3,26,0,7,1,630,704,630,704
137,2016,0,64,0,3,26,0,13,3,326.67,398.666667,980,1196
137,2016,0,64,0,3,26,0,13,3,26.67,35.333333,80,106
137,2016,0,64,0,3,26,0,13,1,23,25,23,25
371,2015,10,64,0,3,26,0,13,1,92,106,92,106
371,2015,10,64,0,3,26,0,7,3,186.67,207,560,621
219,2016,6,64,0,3,3,1,14,1,742,737,742,737
219,2016,6,64,0,3,3,0,7,3,70,89.666667,210,269
219,2016,6,64,0,3,3,2,6,1,686,734,686,734
247,2015,5,64,0,3,3,0,13,1,37,41,37,41
22,2016,4,64,1,3,3,0,13,3,105,134,315,402
212,2016,6,64,1,3,3,0,13,1,100,136,100,136
289,2016,5,64,1,3,3,0,13,3,25,29,75,87
387,2015,9,64,1,3,3,0,13,1,15,16,15,16
387,2015,9,64,1,3,3,0,13,2,157.5,178,315,356
405,2015,9,64,1,3,3,0,13,1,24,24,24,24
405,2015,9,64,1,3,3,0,13,3,21.33,21.333333,64,64
405,2015,9,64,1,3,3,0,4,2,103.5,107.5,207,215
33,2016,4,32,0,3,18,0,7,1,560,738,560,738
114,2016,0,32,0,3,18,1,10,3,765,802.333333,2295,2407
114,2016,0,32,0,3,18,0,7,1,980,1387,980,1387
196,2016,6,32,0,3,18,1,10,3,765,826.333333,2295,2479
208,2016,6,32,0,3,18,1,11,2,270,282,540,564
229,2016,6,32,0,3,18,1,14,1,742,675,742,675
229,2016,6,32,0,3,18,0,7,3,291.67,352.666667,875,1058
41,2015,3,32,0,3,18,1,10,1,2049,1719,2049,1719
275,2015,5,32,0,3,18,1,10,3,765,783,2295,2349
328,2015,11,32,0,3,18,1,10,1,2295,2133,2295,2133
328,2015,11,32,0,3,18,0,7,2,52.5,56.5,105,113
335,2015,11,32,0,3,18,1,10,3,773.33,695.666667,2320,2087
35,2016,4,33,0,3,26,1,11,1,540,506,540,506
40,2016,3,33,0,3,26,0,13,2,67.5,88,135,176
40,2016,3,33,0,3,26,0,13,2,26.5,34,53,68
45,2016,3,33,0,3,26,0,13,1,50,64,50,64
45,2016,3,33,0,3,26,0,13,1,29,37,29,37
49,2016,3,33,0,3,26,1,11,3,567,559.666667,1701,1679
83,2016,7,33,0,3,26,0,13,1,65,86,65,86
83,2016,7,33,0,3,26,0,13,2,44,57.5,88,115
107,2016,7,33,0,3,26,0,13,2,48,54.5,96,109
107,2016,7,33,0,3,26,0,13,3,119.67,157.333333,359,472
148,2016,0,33,0,3,26,1,14,2,607.5,615,1215,1230
166,2016,8,33,0,3,26,0,13,1,60,86,60,86
166,2016,8,33,0,3,26,0,13,1,350,415,350,415
194,2016,8,33,0,3,26,1,14,3,794.67,939.333333,2384,2818
212,2016,6,33,0,3,26,1,14,1,742,758,742,758
221,2016,6,33,0,3,26,1,11,2,270,248,540,496
221,2016,6,33,0,3,26,1,11,2,270,289.5,540,579
233,2016,6,33,0,3,26,0,13,3,32.67,43,98,129
233,2016,6,33,0,3,26,0,13,2,46,59.5,92,119
243,2016,5,33,0,3,26,0,13,1,430,514,430,514
243,2016,5,33,0,3,26,0,13,2,27.5,37,55,74
264,2016,5,33,0,3,26,0,13,3,135.33,171.666667,406,515
264,2016,5,33,0,3,26,0,13,3,13.33,17.333333,40,52
279,2016,5,33,0,3,26,0,13,1,330,394,330,394
181,2015,8,33,0,3,26,1,11,2,500,449.5,1000,899
242,2015,5,33,0,3,26,0,13,3,280,310.333333,840,931
242,2015,5,33,0,3,26,0,13,1,150,153,150,153
299,2015,1,33,0,3,26,0,13,3,50,56,150,168
355,2015,10,33,0,3,26,0,13,2,337.5,362.5,675,725
355,2015,10,33,0,3,26,0,13,1,25,24,25,24
376,2015,10,33,0,3,26,0,13,3,141.67,150.666667,425,452
376,2015,10,33,0,3,26,0,13,3,21.33,23.333333,64,70
398,2015,9,33,0,3,26,0,13,1,140,150,140,150
402,2015,9,33,0,3,26,1,11,1,1701,1711,1701,1711
404,2015,9,33,0,3,26,1,11,2,560,488,1120,976
404,2015,9,33,0,3,26,0,13,3,8,9.666667,24,29
404,2015,9,33,0,3,26,0,13,1,200,206,200,206
430,2015,2,33,0,3,26,0,13,3,1.33,1.333333,4,4
430,2015,2,33,0,3,26,0,13,1,652,717,652,717
430,2015,2,33,0,3,26,0,13,3,20,22.333333,60,67
431,2015,2,33,0,3,26,0,13,2,180,208,360,416
431,2015,2,33,0,3,26,0,13,3,41.67,45.666667,125,137
439,2015,2,33,0,3,26,0,13,2,52,55.5,104,111
439,2015,2,33,0,3,26,0,13,1,913,948,913,948
198,2016,6,33,1,3,26,1,14,3,247.33,251.333333,742,754
232,2016,6,33,1,3,26,1,14,2,1192,1205.5,2384,2411
35,2016,4,33,0,3,26,2,3,2,112.5,151,225,302
49,2016,3,33,0,3,26,2,3,3,6,7,18,21
221,2016,6,33,0,3,26,2,3,2,58.5,62,117,124
284,2015,5,33,0,3,26,2,3,1,180,231,180,231
348,2015,11,33,0,3,26,2,3,1,216,196,216,196
407,2015,9,41,1,3,3,0,1,2,795,886,1590,1772
322,2015,1,63,1,3,26,1,10,2,1147.5,1074.5,2295,2149
3,2016,4,34,1,3,26,0,13,1,630,717,630,717
3,2016,4,34,1,3,26,0,13,1,95,112,95,112
19,2016,4,34,1,3,26,0,13,1,300,353,300,353
19,2016,4,34,1,3,26,0,13,2,65,89.5,130,179
52,2016,3,34,1,3,26,0,13,3,8.33,11,25,33
53,2016,3,34,1,3,26,0,13,2,280,329.5,560,659
53,2016,3,34,1,3,26,0,13,2,4.5,6.5,9,13
140,2016,0,34,1,3,26,0,13,3,326,417.333333,978,1252
145,2016,0,34,1,3,26,0,13,2,60,70.5,120,141
196,2016,6,34,1,3,26,0,13,2,195,252,390,504
196,2016,6,34,1,3,26,0,13,1,50,60,50,60
244,2016,5,34,1,3,26,0,13,1,203,239,203,239
244,2016,5,34,1,3,26,0,13,2,37.5,46,75,92
244,2016,5,34,1,3,26,0,13,2,28.5,37.5,57,75
277,2015,5,34,1,3,26,0,13,2,175,205.5,350,411
277,2015,5,34,1,3,26,0,13,2,38,43.5,76,87
277,2015,5,34,1,3,26,0,13,3,6,7,18,21
37,2016,4,34,0,3,3,0,4,1,191,253,191,253
269,2015,5,34,0,3,3,0,4,2,12,12,24,24
412,2015,9,34,0,3,3,0,4,3,39.67,42.333333,119,127
249,2015,5,35,0,3,3,0,4,1,231,273,231,273
257,2015,5,35,0,3,3,0,4,2,28,31.5,56,63
304,2015,1,35,0,3,3,0,4,2,95.5,114.5,191,229
333,2015,11,35,0,3,3,0,4,1,111,115,111,115
387,2015,9,35,0,3,3,0,4,1,183,181,183,181
35,2016,4,35,1,3,3,2,15,2,63.5,77,127,154
168,2016,8,42,1,3,26,0,4,2,28,38.5,56,77
340,2015,11,42,1,3,26,0,4,1,40,44,40,44
40,2016,3,43,0,3,3,0,13,2,333.5,431,667,862
40,2016,3,43,0,3,3,0,13,2,35,47,70,94
49,2016,3,43,0,3,3,1,11,3,567,553.333333,1701,1660
56,2016,3,43,0,3,3,0,13,1,84,100,84,100
56,2016,3,43,0,3,3,0,13,3,184.67,215,554,645
63,2016,3,43,0,3,3,1,11,1,540,622,540,622
71,2016,3,43,0,3,3,0,13,1,69,83,69,83
71,2016,3,43,0,3,3,1,11,3,373.33,375.333333,1120,1126
71,2016,3,43,0,3,3,0,13,1,56,74,56,74
71,2016,3,43,0,3,3,0,13,1,450,546,450,546
74,2016,3,43,0,3,3,0,13,1,945,1091,945,1091
74,2016,3,43,0,3,3,0,13,3,18.33,23,55,69
113,2016,7,43,0,3,3,0,0,2,660,867,1320,1734
130,2016,0,43,0,3,3,0,13,1,870,1221,870,1221
130,2016,0,43,0,3,3,0,13,1,80,97,80,97
138,2016,0,43,0,3,3,1,11,1,1120,1218,1120,1218
141,2016,0,43,0,3,3,0,13,2,30,35.5,60,71
157,2016,8,43,0,3,3,1,11,3,180,173.666667,540,521
186,2016,8,43,0,3,3,0,13,3,222.33,312,667,936
186,2016,8,43,0,3,3,0,13,2,57.5,69.5,115,139
186,2016,8,43,0,3,3,0,13,2,7,8.5,14,17
187,2016,8,43,0,3,3,1,11,1,540,549,540,549
199,2016,6,43,0,3,3,1,11,2,560,537,1120,1074
200,2015,6,43,0,3,3,1,11,3,261,246.333333,783,739
265,2015,5,43,0,3,3,0,13,1,115,135,115,135
265,2015,5,43,0,3,3,0,13,1,140,160,140,160
290,2015,5,43,0,3,3,1,11,1,1120,997,1120,997
306,2015,1,43,0,3,3,1,11,1,1701,1629,1701,1629
372,2015,10,43,0,3,3,0,13,2,367.5,409.5,735,819
372,2015,10,43,0,3,3,0,13,3,46.67,54.666667,140,164
389,2015,9,43,0,3,3,1,11,1,1120,1062,1120,1062
419,2015,2,43,0,3,3,0,13,2,75,76.5,150,153
419,2015,2,43,0,3,3,0,13,3,23.33,23.666667,70,71
420,2015,2,43,0,3,3,0,13,2,261,269.5,522,539
420,2015,2,43,0,3,3,0,13,1,25,29,25,29
426,2015,2,43,0,3,3,0,13,3,11.67,12.333333,35,37
430,2015,2,43,0,3,3,1,11,1,1120,1032,1120,1032
431,2015,2,43,0,3,3,0,13,1,100,112,100,112
431,2015,2,43,0,3,3,0,13,3,256.67,295,770,885
431,2015,2,43,0,3,3,0,13,3,7.67,8,23,24
441,2015,2,43,0,3,3,0,13,3,326.67,384.333333,980,1153
441,2015,2,43,0,3,3,0,13,3,1.67,2,5,6
297,2015,1,62,0,3,26,1,10,1,2295,2210,2295,2210
319,2015,1,62,1,3,3,2,3,1,63,69,63,69
52,2016,3,37,1,3,18,0,5,3,132,154.666667,396,464
52,2016,3,37,1,3,18,0,4,3,5.33,6.333333,16,19
149,2016,0,37,1,3,18,1,10,3,765,818.666667,2295,2456
226,2016,6,37,1,3,18,0,5,1,593,633,593,633
300,2015,1,37,1,3,18,1,10,1,2295,2257,2295,2257
300,2015,1,37,1,3,18,0,4,1,135,164,135,164
325,2015,1,37,1,3,18,0,4,3,77,78.333333,231,235
343,2015,11,37,1,3,18,1,10,3,765,745.666667,2295,2237
442,2015,2,37,1,3,18,1,11,3,373.33,360.666667,1120,1082
192,2016,8,37,0,3,18,0,5,1,528,615,528,615
345,2015,11,37,0,3,18,0,8,2,605,674.5,1210,1349
345,2015,11,37,0,3,18,0,4,1,127,140,127,140
4,2016,4,43,0,3,18,0,13,2,358.5,472.5,717,945
14,2016,4,43,0,3,18,0,13,1,840,1108,840,1108
14,2016,4,43,0,3,18,0,13,3,11.67,15.333333,35,46
58,2016,3,43,0,3,18,0,13,3,1.67,2.333333,5,7
58,2016,3,43,0,3,18,0,13,2,23,32,46,64
138,2016,0,43,0,3,18,0,13,1,105,146,105,146
256,2016,5,43,0,3,18,0,13,2,18.5,22,37,44
299,2015,1,43,0,3,18,0,13,2,50,54.5,100,109
299,2015,1,43,0,3,18,0,13,3,66.67,69,200,207
415,2015,2,43,0,3,18,0,13,2,54,60,108,120
415,2015,2,43,0,3,18,0,13,1,587,630,587,630
420,2015,2,43,0,3,18,0,13,2,75,82.5,150,165
420,2015,2,43,0,3,18,0,13,1,420,497,420,497
93,2016,7,44,0,3,26,0,13,2,34.5,44,69,88
134,2016,0,44,0,3,26,0,13,2,192.5,249,385,498
141,2016,0,44,0,3,26,0,13,2,44,52.5,88,105
141,2016,0,44,0,3,26,0,13,2,161,212,322,424
158,2016,8,44,0,3,26,0,13,1,65,85,65,85
203,2016,6,44,0,3,26,0,13,2,12.5,17,25,34
225,2016,6,44,0,3,26,0,13,3,11.33,14,34,42
246,2016,5,44,0,3,26,0,13,2,75,86.5,150,173
323,2015,1,44,0,3,26,0,13,3,338.33,350.666667,1015,1052
323,2015,1,44,0,3,26,0,13,1,7,8,7,8
374,2015,10,44,0,3,26,0,13,1,595,668,595,668
374,2015,10,44,0,3,26,0,13,1,80,83,80,83
401,2015,9,44,0,3,26,0,13,3,15.33,17,46,51
404,2015,9,44,0,3,26,0,13,2,55,59.5,110,119
404,2015,9,44,0,3,26,0,13,3,35,42.666667,105,128
406,2015,9,44,0,3,26,0,13,3,8.33,9,25,27
417,2015,2,44,0,3,26,0,13,1,20,21,20,21
417,2015,2,44,0,3,26,0,13,3,280,283.333333,840,850
425,2015,2,44,0,3,26,0,13,3,315,342.666667,945,1028
22,2016,4,44,1,3,26,0,13,3,3,3.333333,9,10
83,2016,7,44,1,3,26,0,13,1,50,69,50,69
107,2016,7,44,1,3,26,0,13,2,57.5,74,115,148
107,2016,7,44,1,3,26,0,13,1,60,75,60,75
174,2016,8,44,1,3,26,0,13,3,45,48.666667,135,146
174,2016,8,44,1,3,26,0,13,1,551,746,551,746
174,2016,8,44,1,3,26,0,13,1,27,36,27,36
193,2016,8,44,1,3,26,0,13,2,2.5,3,5,6
201,2016,6,44,1,3,26,0,13,2,65,76.5,130,153
201,2016,6,44,1,3,26,0,13,3,241.67,324.333333,725,973
243,2016,5,44,1,3,26,0,13,1,725,973,725,973
243,2016,5,44,1,3,26,0,13,2,50,60.5,100,121
376,2015,10,44,1,3,26,0,13,3,1.67,2,5,6
376,2015,10,44,1,3,26,0,13,2,15,16.5,30,33
392,2015,9,44,1,3,26,0,13,2,42.5,47,85,94
392,2015,9,44,1,3,26,0,13,1,1015,1090,1015,1090
392,2015,9,44,1,3,26,0,13,2,26.5,27.5,53,55
430,2015,2,44,1,3,26,0,13,3,5.33,6.333333,16,19
430,2015,2,44,1,3,26,0,13,3,141.67,156.333333,425,469
430,2015,2,44,1,3,26,0,13,2,23,27,46,54
203,2016,6,44,0,3,26,0,4,1,231,288,231,288
23,2016,4,45,0,3,18,1,10,2,1147.5,1105.5,2295,2211
30,2016,4,45,0,3,18,1,10,2,1160,1121,2320,2242
145,2016,0,45,0,3,18,1,11,2,850.5,840,1701,1680
118,2015,0,45,0,3,18,1,11,1,1000,891,1000,891
167,2015,8,45,0,3,18,1,11,2,500,465.5,1000,931
176,2015,8,45,0,3,18,1,11,3,333.33,313.666667,1000,941
316,2015,1,45,0,3,18,1,10,2,1147.5,1164,2295,2328
398,2015,9,45,0,3,18,1,10,3,773.33,702,2320,2106
420,2015,2,45,0,3,18,1,10,3,256.33,261.333333,769,784
66,2016,3,60,0,3,3,0,5,1,220,303,220,303
66,2016,3,60,0,3,3,0,4,2,71.5,86.5,143,173
88,2016,7,60,0,3,3,0,5,3,197.67,262.333333,593,787
307,2015,1,60,0,3,3,0,4,2,16,19,32,38
394,2015,9,60,0,3,3,0,4,2,8,8,16,16
272,2016,5,59,0,3,26,0,13,1,815,933,815,933
349,2015,11,59,0,3,26,0,13,2,297.5,342.5,595,685
349,2015,11,59,0,3,26,0,13,2,60,68,120,136
349,2015,11,59,0,3,26,0,13,3,19,22.666667,57,68
402,2015,9,59,0,3,26,0,13,3,50,53.666667,150,161
405,2015,9,59,0,3,26,0,13,3,15.33,18,46,54
298,2015,1,59,1,3,3,0,1,2,238.5,288,477,576
108,2016,7,58,1,3,3,2,9,3,300,343,900,1029
218,2016,6,58,1,3,3,1,10,2,1147.5,1220,2295,2440
221,2016,6,58,1,3,3,1,10,3,773.33,840.666667,2320,2522
303,2015,1,58,1,3,3,1,10,3,765,739.666667,2295,2219
303,2015,1,58,1,3,3,2,9,3,366.67,435.666667,1100,1307
318,2015,1,58,1,3,3,1,10,3,765,710.333333,2295,2131
391,2015,9,58,1,3,3,1,11,2,270,256,540,512
407,2015,9,58,1,3,3,1,10,1,2295,2220,2295,2220
407,2015,9,58,1,3,3,2,9,3,522,483.666667,1566,1451
409,2015,9,58,1,3,3,2,9,3,300,308.666667,900,926
299,2015,1,58,1,3,26,1,10,2,1160,1140,2320,2280
299,2015,1,58,1,3,26,0,2,1,30,33,30,33
299,2015,1,58,1,3,26,0,2,1,140,163,140,163
299,2015,1,58,1,3,26,0,8,2,687.5,745.5,1375,1491
96,2016,7,58,1,3,3,0,7,2,245,291.5,490,583
108,2016,7,58,1,3,3,0,7,3,23.33,29,70,87
232,2016,6,58,1,3,3,0,7,3,315,411,945,1233
318,2015,1,58,1,3,3,0,7,3,326.67,368.666667,980,1106
336,2015,11,58,1,3,3,0,7,3,315,364,945,1092
259,2015,5,35,0,1,16,1,10,1,2320,2548,2320,2548
7,2016,4,36,0,2,5,1,14,3,247.33,247.666667,742,743
27,2016,4,36,0,2,5,1,14,3,247.33,268,742,804
35,2016,4,36,0,2,5,1,14,2,1192,1229.5,2384,2459
148,2016,0,36,0,2,5,1,14,3,247.33,260.666667,742,782
208,2016,6,36,0,2,5,1,14,2,1192,1275,2384,2550
419,2015,2,36,0,2,5,1,14,3,794.67,722.666667,2384,2168
431,2015,2,36,0,2,5,1,14,2,1192,1044.5,2384,2089
255,2015,5,36,0,1,1,1,10,2,1160,1253,2320,2506
10,2016,4,35,1,0,21,0,7,2,350,505.5,700,1011
203,2016,6,35,1,0,21,0,2,1,36,58,36,58
203,2016,6,35,1,0,21,0,2,2,35,35.5,70,71
203,2016,6,35,1,0,21,0,7,3,280,301.666667,840,905
112,2015,7,35,1,0,21,1,10,2,1035.5,710,2071,1420
257,2015,5,35,1,0,21,1,10,2,1160,942,2320,1884
257,2015,5,35,1,0,21,0,2,2,55,47.5,110,95
257,2015,5,35,1,0,21,0,2,2,30,29,60,58
257,2015,5,35,1,0,21,0,7,3,198.33,283.666667,595,851
329,2015,11,35,1,0,21,0,7,3,81.67,65,245,195
26,2016,4,36,1,2,5,1,14,2,1192,1360,2384,2720
184,2016,8,36,1,2,5,1,14,3,247.33,262,742,786
282,2015,5,36,1,2,5,1,10,1,2320,2007,2320,2007
356,2015,10,36,1,2,5,1,10,2,270,264.5,540,529
363,2015,10,36,1,2,5,1,10,2,384.5,375.5,769,751
383,2015,10,36,1,2,5,1,10,3,180,183.666667,540,551
245,2015,5,36,1,1,16,1,10,3,773.33,908.666667,2320,2726
245,2015,5,36,1,1,16,0,2,1,30,40,30,40
245,2015,5,36,1,1,16,0,2,2,17.5,23.5,35,47
245,2015,5,36,1,1,16,0,7,3,186.67,265,560,795
128,2015,0,36,1,0,21,1,10,1,2049,2267,2049,2267
292,2015,5,36,1,0,21,1,10,2,1147.5,1163,2295,2326
152,2015,0,61,0,0,21,1,10,2,1024.5,1077,2049,2154
251,2015,5,61,0,0,21,1,10,1,2295,1630,2295,1630
251,2015,5,61,0,0,21,0,2,3,43.33,52.333333,130,157
251,2015,5,61,0,0,21,0,2,1,145,204,145,204
251,2015,5,61,0,0,21,2,9,1,108,100,108,100
26,2016,4,61,1,2,5,1,14,2,1192,1207,2384,2414
26,2016,4,61,1,2,5,0,13,3,183.67,244.333333,551,733
26,2016,4,61,1,2,5,0,13,3,23.33,30,70,90
26,2016,4,61,1,2,5,0,7,3,35,40,105,120
145,2016,0,61,1,2,5,0,13,3,24,30.666667,72,92
145,2016,0,61,1,2,5,0,7,3,338.33,433.666667,1015,1301
253,2015,5,61,1,2,5,1,10,2,1147.5,1084.5,2295,2169
253,2015,5,61,1,2,5,0,7,2,402.5,491,805,982
253,2015,5,61,1,2,5,2,3,2,36,39,72,78
328,2015,11,61,1,2,5,0,13,3,12,13.666667,36,41
328,2015,11,61,1,2,5,0,13,2,86,96.5,172,193
17,2016,4,35,1,0,19,0,2,1,75,90,75,90
17,2016,4,35,1,0,19,0,2,3,48,49.666667,144,149
17,2016,4,35,1,0,19,0,7,2,385,414,770,828
351,2015,11,35,1,0,19,0,2,1,130,167,130,167
351,2015,11,35,1,0,19,0,2,2,18,22.5,36,45
30,2016,4,40,0,2,5,2,6,3,73.33,91.333333,220,274
146,2015,0,40,0,0,22,1,10,2,1024.5,708,2049,1416
247,2015,5,40,0,0,22,1,10,2,1160,1340.5,2320,2681
247,2015,5,40,0,0,22,0,13,1,35,36,35,36
306,2015,1,40,0,0,22,0,13,3,38.67,51,116,153
334,2015,11,40,0,0,22,0,13,2,420,522.5,840,1045
334,2015,11,40,0,0,22,0,13,2,33,39,66,78
309,2015,1,42,0,0,21,2,9,2,100,104.5,200,209
309,2015,1,42,0,0,21,2,12,2,63,46.5,126,93
356,2015,10,42,1,1,8,2,9,3,216,257.333333,648,772
12,2016,4,43,0,1,10,2,9,3,83.33,117.333333,250,352
272,2016,5,43,0,1,10,0,2,2,45,59.5,90,119
272,2016,5,43,0,1,10,0,2,1,27,39,27,39
272,2016,5,43,0,1,10,2,9,1,1188,1818,1188,1818
386,2015,9,57,1,0,22,0,2,1,81,74,81,74
386,2015,9,57,1,0,22,0,2,1,140,184,140,184
