acousticness,energy,loudness,Class
0.000689,0.736,-7.309,10
0.497,0.57,-11.56,10
0.916,0.459,-10.073,6
5.49e-05,0.993,-4.093,8
6.9e-05,0.927,-8.144,10
4.2e-05,0.949,-3.789,10
0.00782,0.706,-7.165,10
4.59e-06,0.969,-4.956,8
0.362,0.576,-5.611,10
0.029,0.507,-11.016,0
0.000696,0.807,-4.738,10
0.00796,0.775,-6.192,10
0.595,0.647,-13.913,10
0.335,0.754,-7.158,5
0.00658,0.596,-12.477,9
0.438,0.453,-9.54,1
0.00748,0.626,-4.574,5
0.367,0.604,-5.252,6
0.0023,0.908,-4.43,10
0.242,0.572,-10.043,6
0.00156,0.924,-5.567,10
7.44e-05,0.853,-5.861,8
0.000283,0.949,-4.245,1
2.48e-06,0.98,-12.697,8
0.009,0.67,-8.81,10
0.451,0.231,-15.002,10
0.983,0.14,-15.33,3
0.0018,0.87,-6.984,6
0.00157,0.405,-8.907,10
0.000401,0.767,-6.913,1
0.224,0.913,-8.185,10
0.0435,0.584,-7.257,10
0.677,0.5,-9.119,6
0.00015,0.913,-9.152,1
0.183,0.682,-11.927,10
0.652,0.338,-10.054,9
0.589,0.58,-14.217,4
0.0296,0.931,-4.647,9
0.535,0.505,-7.621,9
0.432,0.532,-9.119,10
0.55,0.278,-18.566,2
0.00705,0.764,-5.476,10
0.000364,0.676,-5.953,10
0.789,0.456,-7.144,3
0.0297,0.838,-11.252,2
0.0129,0.63,-9.778,10
0.22,0.505,-9.517,10
0.00321,0.786,-5.735,10
0.000175,0.96,-3.705,8
0.546,0.693,-9.936,2
0.00995,0.571,-7.282,0
0.00192,0.802,-6.866,8
0.681,0.359,-8.549,9
0.000625,0.974,-3.407,10
0.00209,0.53,-9.338,8
0.189,0.928,-5.833,10
0.578,0.3,-8.005,4
9.25e-05,0.96,-2.672,8
9.12e-05,0.917,-7.902,6
0.955,0.28,-11.026,10
0.00772,0.795,-10.865,6
0.835,0.313,-10.242,0
0.00536,0.523,-7.227,1
0.995,0.182,-22.639,6
1.5e-05,0.95,-8.544,8
0.00335,0.818,-6.083,2
8.44e-05,0.744,-8.303,6
0.536,0.622,-5.492,9
0.433,0.307,-12.071,10
0.0266,0.774,-8.22,10
0.000403,0.987,-3.675,8
0.126,0.631,-5.182,4
0.0663,0.63,-9.511,6
0.000119,0.943,-4.252,10
0.132,0.853,-5.373,10
0.000153,0.776,-9.259,8
0.555,0.532,-9.61,10
0.0553,0.69,-10.309,10
0.488,0.444,-13.137,6
0.0466,0.835,-6.445,10
0.935,0.0825,-24.735,7
0.627,0.457,-10.538,6
0.061,0.913,-4.793,8
0.62,0.486,-11.0,0
0.631,0.361,-9.782,1
0.326,0.523,-10.083,9
0.75,0.589,-7.194,6
7.25e-05,0.956,-4.936,8
9.62e-05,0.983,-3.548,8
0.0157,0.871,-8.919,2
0.027,0.448,-10.248,5
0.878,0.367,-9.227,9
0.266,0.622,-6.698,10
0.000554,0.85,-4.967,1
3.9e-05,0.942,-6.067,8
0.00238,0.776,-4.535,10
0.715,0.236,-17.666,6
0.214,0.852,-6.215,9
0.216,0.458,-7.742,9
0.506,0.58,-8.703,5
0.00604,0.934,-3.398,10
0.144,0.896,-4.581,9
0.0069,0.526,-8.513,10
0.22,0.603,-12.064,9
0.00018,0.948,-4.724,10
0.00027,0.893,-5.426,8
0.524,0.414,-10.572,0
0.755,0.0366,-22.291,7
0.289,0.313,-11.384,2
0.37,0.45,-13.748,1
0.603,0.693,-7.372,5
0.0762,0.745,-6.832,6
0.000482,0.95,-2.533,10
0.77,0.477,-11.709,6
0.00104,0.993,-2.521,8
0.00202,0.909,-4.921,10
5.99e-06,0.927,-9.072,10
0.979,0.03,-23.518,7
0.36,0.905,-4.001,10
0.89,0.0281,-28.315,7
0.609,0.463,-10.429,6
8.44e-06,0.979,-3.963,8
0.00144,0.61,-9.472,6
0.274,0.736,-9.916,0
0.124,0.806,-10.011,1
0.0124,0.869,-5.031,10
0.989,0.0437,-22.627,5
0.958,0.266,-12.272,9
0.414,0.675,-4.903,2
0.989,0.0814,-18.022,2
0.276,0.771,-6.414,2
0.116,0.503,-12.523,10
0.00237,0.776,-7.21,8
0.33,0.809,-7.68,0
7.69e-06,0.875,-6.894,10
0.835,0.394,-11.777,6
0.0114,0.648,-5.762,10
0.0725,0.867,-4.864,1
0.194,0.551,-8.121,10
0.000633,0.939,-7.322,10
0.00154,0.763,-6.719,8
0.13,0.864,-5.365,4
0.000604,0.585,-12.226,8
0.3,0.243,-13.188,10
0.858,0.327,-11.4,6
0.0791,0.758,-5.576,5
0.571,0.415,-7.271,1
0.337,0.654,-7.545,10
0.147,0.586,-8.314,10
0.00364,0.967,-5.143,10
0.00334,0.923,-5.924,10
0.00201,0.883,-3.65,6
3.06e-05,0.897,-8.644,8
1.23e-05,0.952,-3.761,8
0.879,0.415,-10.708,9
8.12e-06,0.998,-5.64,8
0.000123,0.883,-6.354,6
0.0406,0.766,-5.735,6
0.173,0.896,-3.311,10
0.0232,0.609,-8.295,10
0.912,0.431,-5.89,9
0.747,0.47,-13.45,10
0.00329,0.844,-5.989,10
0.00155,0.984,-3.378,10
0.566,0.407,-8.643,9
0.968,0.141,-16.568,2
0.978,0.262,-13.286,0
0.00105,0.92,-6.046,8
0.653,0.331,-14.248,10
2.29e-05,0.984,-4.261,6
0.0291,0.369,-14.216,8
0.000466,0.749,-5.047,10
0.0516,0.824,-5.659,1
0.838,0.303,-10.344,6
0.000219,0.898,-3.321,1
0.396,0.593,-7.376,2
0.289,0.516,-9.587,10
0.0103,0.658,-5.552,10
0.425,0.753,-8.937,10
0.88,0.289,-8.3,0
0.969,0.123,-16.546,7
0.835,0.379,-14.014,6
0.00429,0.968,-3.167,10
0.59,0.254,-8.981,10
0.272,0.637,-8.07,7
0.314,0.612,-6.92,2
0.00195,0.926,-2.368,10
0.000132,0.943,-4.505,10
0.406,0.538,-5.729,10
0.02,0.884,-9.954,6
0.813,0.455,-11.265,0
0.71,0.57,-6.973,10
0.896,0.224,-11.612,6
0.0951,0.355,-14.196,10
0.000114,0.964,-4.326,10
0.0871,0.619,-8.275,5
0.964,0.162,-16.498,2
0.0169,0.952,-8.762,10
0.000413,0.729,-7.247,10
0.0279,0.843,-2.939,2
0.063,0.918,-10.854,6
0.286,0.845,-2.793,9
0.0232,0.942,-3.395,9
7.95e-05,0.943,-5.399,10
0.385,0.593,-7.761,2
0.0949,0.813,-8.145,2
0.513,0.581,-11.856,10
0.413,0.7,-7.001,10
0.948,0.143,-17.285,6
0.0916,0.423,-8.795,10
0.128,0.401,-11.063,2
0.265,0.839,-10.204,2
0.00683,0.913,-5.009,10
0.828,0.22,-12.608,10
0.116,0.634,-11.178,10
0.67,0.578,-7.567,10
0.755,0.2,-12.217,0
0.0209,0.617,-9.81,6
6.02e-05,0.988,-3.339,10
0.211,0.903,-11.09,5
0.0273,0.848,-10.072,6
0.101,0.708,-9.142,6
3.03e-05,0.866,-3.274,10
3.41e-05,0.984,-3.899,8
0.172,0.961,-3.658,1
5.68e-05,0.944,-5.773,8
0.918,0.153,-17.966,7
0.00127,0.761,-2.43,8
0.421,0.642,-8.634,9
0.00473,0.655,-6.188,1
0.00416,0.895,-6.187,8
0.309,0.358,-8.545,6
0.195,0.56,-7.085,10
3.45e-05,0.993,-2.216,8
3.16e-05,0.872,-4.918,8
0.286,0.74,-9.886,1
0.000894,0.682,-8.039,10
0.748,0.342,-8.86,9
0.953,0.114,-18.43,7
0.346,0.547,-7.273,9
7.37e-05,0.925,-4.679,10
0.0731,0.776,-4.61,10
0.000596,0.761,-6.873,10
0.00406,0.795,-6.941,10
0.0024,0.932,-4.85,1
1.66e-05,0.962,-3.139,10
0.234,0.494,-12.232,9
0.319,0.591,-9.004,6
0.135,0.884,-4.923,10
0.00546,0.804,-6.341,8
0.219,0.635,-9.223,2
0.00297,0.772,-9.139,9
0.104,0.456,-11.607,10
2.02e-05,0.97,-4.905,8
0.0598,0.896,-2.512,9
0.00364,0.913,-2.926,9
0.00154,0.832,-3.913,1
0.0114,0.78,-9.948,1
0.297,0.401,-12.476,2
0.00796,0.749,-8.118,6
0.665,0.338,-6.416,10
0.00107,0.461,-7.124,0
0.5,0.943,-6.025,6
0.00784,0.823,-5.874,6
0.964,0.443,-15.045,6
0.00118,0.856,-3.309,6
0.00038,0.949,-6.244,8
0.00255,0.805,-6.237,6
0.446,0.38,-18.311,3
0.784,0.339,-7.694,9
0.47,0.376,-9.946,6
0.000127,0.831,-3.894,9
0.0533,0.783,-7.073,6
0.0134,0.606,-6.799,10
0.405,0.422,-11.541,8
0.0146,0.598,-5.413,6
0.00187,0.977,-4.845,10
0.295,0.568,-4.975,6
0.000127,0.955,-2.637,10
0.561,0.7,-5.955,10
0.0446,0.705,-9.565,2
0.0219,0.609,-7.104,6
0.991,0.0145,-31.366,7
0.0287,0.969,-3.369,10
1.63e-05,0.992,-2.642,8
0.991,0.433,-12.396,6
0.573,0.779,-9.159,2
0.355,0.841,-3.771,9
0.924,0.314,-9.072,0
0.0157,0.863,-6.239,10
0.351,0.504,-6.789,10
0.00134,0.881,-4.099,9
0.0477,0.903,-5.956,10
0.0818,0.575,-11.808,10
0.334,0.649,-8.937,1
0.00676,0.8,-10.833,10
0.000525,0.957,-3.848,8
0.000105,0.835,-4.462,10
0.996,0.121,-21.824,6
0.00447,0.513,-11.221,1
5.51e-05,0.978,-4.882,8
0.193,0.997,-8.196,2
0.237,0.663,-8.301,1
0.0064,0.699,-11.195,10
0.235,0.701,-3.541,5
0.509,0.535,-7.922,1
0.161,0.595,-7.407,2
0.00799,0.815,-5.886,9
0.118,0.817,-9.069,6
0.0978,0.869,-10.167,5
0.327,0.379,-12.424,2
0.777,0.324,-9.468,0
0.0392,0.61,-9.986,10
0.000754,0.876,-5.452,6
0.836,0.413,-7.816,0
0.0239,0.78,-4.612,9
0.000385,0.904,-5.297,1
9.11e-05,0.982,-2.293,8
0.638,0.425,-14.68,1
0.000713,0.63,-5.679,6
0.00257,0.788,-4.994,10
0.0218,0.576,-13.059,10
0.00287,0.878,-5.985,10
0.243,0.671,-3.126,9
0.111,0.955,-6.684,6
0.00235,0.853,-7.529,8
0.0166,0.646,-5.987,2
0.0185,0.947,-5.12,10
0.000525,0.961,-5.234,10
0.000211,0.94,-3.435,8
0.289,0.712,-5.597,6
0.526,0.711,-10.633,4
0.316,0.959,-4.744,6
0.000132,0.944,-6.169,10
0.179,0.753,-4.329,10
0.979,0.14,-14.161,7
0.0115,0.74,-4.083,9
0.00067,0.974,-2.948,8
0.00118,0.811,-8.282,10
0.193,0.77,-6.676,6
0.0821,0.636,-8.574,6
0.0514,0.659,-8.786,0
1.02e-05,0.913,-4.842,10
0.941,0.114,-13.973,0
0.00541,0.554,-10.839,10
0.000224,0.578,-7.965,6
0.00131,0.787,-6.763,8
0.694,0.654,-10.798,9
0.948,0.193,-17.467,10
0.225,0.629,-8.245,5
0.0187,0.856,-4.34,9
0.98,0.216,-14.891,7
0.397,0.609,-10.13,9
0.971,0.0808,-21.66,7
0.386,0.496,-9.765,6
0.0052,0.807,-3.59,9
0.602,0.575,-6.42,0
0.981,0.143,-18.164,8
0.000439,0.623,-6.248,6
0.282,0.463,-7.927,10
0.041,0.747,-5.678,10
0.00114,0.972,-4.157,8
0.00784,0.467,-9.528,1
0.0223,0.856,-5.733,6
0.607,0.689,-12.203,10
0.00456,0.507,-6.285,10
0.00465,0.956,-4.557,10
0.000719,0.953,-3.632,10
0.647,0.511,-9.37,4
0.00201,0.859,-2.827,8
0.189,0.546,-7.496,10
0.0371,0.756,-9.251,10
0.541,0.664,-7.502,9
0.0423,0.684,-11.969,6
0.237,0.287,-11.5,6
0.00428,0.56,-10.89,10
0.157,0.532,-10.13,5
0.937,0.219,-14.722,6
0.00306,0.812,-7.379,8
0.0014,0.912,-3.881,10
0.122,0.677,-10.764,10
0.668,0.806,-5.082,5
0.0122,0.946,-4.395,6
0.631,0.578,-6.399,6
0.988,0.18,-21.022,6
0.487,0.405,-10.547,1
0.0146,0.598,-5.413,1
0.000266,0.974,-3.866,10
0.0837,0.636,-6.798,9
0.282,0.65,-8.688,6
0.0164,0.988,-0.846,1
0.144,0.625,-8.747,5
0.425,0.345,-12.505,0
0.86,0.249,-12.076,3
1.31e-06,0.959,-9.419,8
0.133,0.596,-8.393,6
0.000865,0.656,-9.05,10
0.954,0.158,-15.982,7
0.00932,0.49,-13.679,6
0.265,0.804,-7.521,4
0.0523,0.613,-8.995,10
0.517,0.485,-9.111,1
0.0272,0.696,-5.157,6
0.00847,0.752,-10.661,10
0.0129,0.751,-7.38,6
0.136,0.798,-5.589,6
0.299,0.416,-13.048,10
0.0175,0.715,-7.016,6
0.0651,0.725,-6.777,6
0.499,0.483,-9.458,10
0.000409,0.663,-8.821,6
0.588,0.404,-12.366,10
0.00315,0.878,-4.109,6
0.159,0.745,-7.405,2
0.51,0.386,-9.728,1
0.587,0.41,-11.782,4
1.54e-05,0.91,-4.941,10
0.364,0.832,-4.629,0
0.0714,0.528,-10.855,6
0.275,0.401,-14.222,4
0.00604,0.751,-5.747,1
9.48e-06,0.928,-6.866,6
0.052,0.583,-5.313,10
0.646,0.744,-8.625,3
0.00905,0.716,-10.437,6
0.591,0.947,-3.064,5
1.54e-05,0.989,-5.035,8
0.132,0.853,-5.373,2
0.000368,0.866,-4.534,6
0.00962,0.606,-6.493,10
0.000122,0.768,-4.739,6
0.055,0.864,-3.341,9
5.62e-05,0.845,-3.893,10
0.367,0.322,-10.687,10
0.14,0.888,-9.254,6
0.0143,0.706,-3.925,5
0.0272,0.747,-5.545,1
0.00158,0.886,-6.592,10
0.00905,0.716,-10.437,1
0.275,0.445,-5.257,6
0.738,0.546,-9.335,0
0.425,0.396,-10.927,10
0.269,0.679,-8.346,9
0.282,0.65,-5.603,4
0.00906,0.771,-5.05,10
2.11e-05,0.973,-4.272,8
0.00835,0.898,-5.777,8
0.835,0.224,-12.681,9
6.25e-06,0.984,-4.755,8
0.155,0.824,-6.53,9
0.472,0.23,-18.543,2
0.933,0.134,-21.216,10
0.00512,0.69,-9.885,6
0.38,0.991,-1.101,10
0.0321,0.811,-7.292,10
0.991,0.00573,-36.214,7
0.978,0.103,-18.252,7
0.0295,0.84,-4.123,6
0.000172,0.98,-3.463,8
0.976,0.382,-9.017,2
0.378,0.571,-9.116,1
0.963,0.266,-16.193,7
4.31e-05,0.921,-6.935,8
0.599,0.454,-16.548,0
0.39,0.455,-14.201,10
0.704,0.45,-10.422,4
0.536,0.596,-10.877,2
0.218,0.34,-7.773,10
0.000291,0.953,-6.951,8
0.000187,0.985,-3.237,8
0.226,0.568,-11.979,2
0.518,0.382,-9.37,0
0.288,0.686,-10.458,0
0.0159,0.604,-7.067,5
0.0349,0.598,-6.078,1
0.0223,0.746,-7.785,2
0.000251,0.852,-6.83,10
0.0267,0.644,-11.248,1
0.00735,0.698,-8.214,1
0.95,0.347,-15.483,3
0.02,0.884,-9.954,1
0.000577,0.757,-2.479,9
0.0068,0.943,-2.154,8
0.367,0.612,-9.65,2
0.00795,0.412,-11.908,1
0.258,0.475,-10.674,5
9.04e-05,0.97,-4.851,10
2.22e-05,0.951,-3.951,8
0.0149,0.918,-5.274,1
0.245,0.33,-13.925,6
0.0065,0.939,-7.97,2
0.0093,0.646,-6.962,10
0.0072,0.815,-4.737,9
6.98e-05,0.856,-11.546,10
0.0406,0.612,-6.785,1
0.00252,0.591,-4.65,2
0.0267,0.758,-5.991,6
0.00608,0.815,-3.426,10
0.699,0.528,-8.468,6
0.295,0.787,-7.42,6
0.948,0.427,-7.701,3
0.0392,0.606,-9.871,2
0.578,0.763,-10.16,1
0.000272,0.667,-9.884,8
0.0941,0.617,-5.213,6
0.797,0.381,-8.119,2
0.0643,0.776,-6.096,9
0.00165,0.785,-4.991,1
0.00402,0.688,-6.044,2
0.529,0.648,-13.441,10
0.0134,0.685,-6.433,6
0.000827,0.584,-10.091,8
0.0156,0.895,-7.144,9
0.00592,0.665,-7.58,6
0.107,0.992,-6.995,10
0.407,0.665,-4.997,10
0.603,0.749,-5.686,10
0.0406,0.94,-7.675,6
0.569,0.512,-7.759,6
0.775,0.339,-14.309,3
0.148,0.461,-14.485,10
0.0534,0.628,-5.659,8
0.995,0.269,-13.749,2
0.181,0.919,-6.289,6
0.000127,0.831,-3.894,10
0.000755,0.743,-11.136,5
0.5,0.539,-12.652,1
0.0107,0.972,0.119,5
0.526,0.562,-6.664,6
0.123,0.753,-3.842,10
0.0159,0.875,-5.957,2
0.6,0.477,-12.319,0
0.811,0.295,-15.026,10
0.841,0.408,-10.056,6
0.0402,0.695,-5.841,6
0.645,0.617,-10.666,3
0.896,0.208,-15.886,10
1.32e-05,0.835,-8.619,10
0.0274,0.669,-8.79,10
3.72e-05,0.97,-5.006,8
0.974,0.585,-8.611,3
0.994,0.331,-12.489,3
0.392,0.851,-5.871,10
0.359,0.639,-7.163,10
0.62,0.385,-12.981,0
4.67e-05,0.857,-3.982,8
0.179,0.855,-5.051,10
0.0569,0.759,-7.246,1
0.0631,0.565,-5.356,9
1.37e-05,0.88,-4.573,6
0.791,0.266,-8.603,9
0.000453,0.864,-5.478,6
0.0004,0.77,-7.077,5
0.402,0.457,-8.455,9
3.68e-05,0.833,-3.736,8
0.461,0.435,-9.88,9
0.748,0.342,-8.86,0
0.0403,0.336,-10.061,5
0.0102,0.739,-10.582,2
1.02e-05,0.959,-6.042,8
0.0305,0.826,-9.457,10
0.477,0.59,-4.331,9
0.000334,0.484,-9.11,6
0.586,0.545,-14.043,6
0.0206,0.632,-6.852,1
0.0001,0.835,-3.79,10
0.733,0.485,-8.14,2
0.99,0.117,-15.357,2
0.0221,0.982,-3.125,6
0.135,0.712,-6.822,6
0.924,0.164,-12.18,9
0.969,0.285,-12.209,7
0.0546,0.953,-6.504,10
0.0835,0.333,-12.622,9
1.69e-05,0.915,-5.705,8
0.942,0.3,-8.95,7
5.49e-05,0.968,-4.322,8
0.0132,0.678,-11.312,9
0.000297,0.927,-3.3,6
0.29,0.64,-6.691,9
